Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3805021,,0,363.44,0,1.77,3a,COC(=O)c1ccccc1S(=O)(=O)N1CCCC(Cn2ccnc2)C1,IC50,'=',53.0,nM,7.28,,,UO_0000065,20.02,0.4,5.51,8.93,False,CHEMBL3806799,Inhibition of recombinant human aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate measured at anoxic conditions by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3804764,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016.0,None,
CHEMBL3622437,,0,320.35,0,2.52,9,COC(=O)c1cncc(-c2ccc3c(c2)CCc2nnc(C)n2-3)c1,IC50,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL3625352,Inhibition of human CYP19,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621164,1,Scientific Literature,ACS Med. Chem. Lett.,2015.0,None,
CHEMBL274318,FLAVANONE,0,224.26,0,3.39,flavanone,O=C1CC(c2ccccc2)Oc2ccccc21,IC50,'=',28000.0,nM,4.55,,,UO_0000065,20.3,0.37,1.16,17.31,False,CHEMBL932215,Inhibition of human aromatase in placental microsomes,B,BAO_0000251,microsome format,Homo sapiens,None,None,None,Microsome,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143207,1,Scientific Literature,Bioorg. Med. Chem.,2008.0,None,
CHEMBL2003274,,0,375.51,1,5.18,12,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1C/C(=C\c1ccncc1)C2=O,IC50,'=',5200.0,nM,5.28,,,UO_0000065,14.07,0.26,0.1,11.24,False,CHEMBL3624595,Inhibition of aromatase (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621095,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL3983734,,0,567.5,1,3.62,6a,CS(=O)(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,IC50,'=',970.0,nM,6.01,,,UO_0000065,,,,,False,CHEMBL3868075,Inhibition of Cyp19 (unknown origin),A,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867461,1,Scientific Literature,Bioorg Med Chem Lett,2016.0,None,
CHEMBL1688907,,0,343.34,0,3.70,20,N#Cc1ccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)cc1,IC50,'=',164.0,nM,6.79,,,UO_0000065,19.76,0.36,3.09,8.37,False,CHEMBL1694074,Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687929,1,Scientific Literature,J. Med. Chem.,2011.0,None,
CHEMBL1688897,,0,366.8,0,4.27,9,O=c1cc(Cn2ccnc2)c2ccc(OCc3ccc(Cl)cc3)cc2o1,IC50,'=',178.0,nM,6.75,,,UO_0000065,18.4,0.35,2.48,11.79,True,CHEMBL1694074,Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687929,1,Scientific Literature,J. Med. Chem.,2011.0,None,
CHEMBL1688905,,0,332.36,0,4.14,18,Cc1ccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)cc1,IC50,'=',690.0,nM,6.16,,,UO_0000065,18.54,0.34,2.02,10.76,False,CHEMBL1694074,Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687929,1,Scientific Literature,J. Med. Chem.,2011.0,None,
CHEMBL3799363,,0,284.4,0,4.01,13,C[C@]12CCC(=O)C=C1CC[C@@H]1C2=CC[C@]2(C)C(=O)CC[C@@H]12,IC50,'=',250.0,nM,6.6,,,UO_0000065,23.21,0.43,2.59,19.34,False,CHEMBL3804708,Inhibition of aromatase in human placental microsomes using [1beta-3H]-androstenedione as substrate assessed as tritiated H2O release after 15 mins by liquid scintillation counting method,B,BAO_0000019,assay format,Homo sapiens,CHEMBL3987910,Placenta,None,Microsomes,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3797024,1,Scientific Literature,Bioorg. Med. Chem.,2016.0,None,
CHEMBL255110,,0,256.26,0,2.80,"Table 3, R4C2",O=C1CC(c2cccc(O)c2)Oc2cc(O)ccc21,IC50,'=',3400.0,nM,5.47,,,UO_0000065,21.34,0.39,2.67,8.19,False,CHEMBL932215,Inhibition of human aromatase in placental microsomes,B,BAO_0000251,microsome format,Homo sapiens,None,None,None,Microsome,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143207,1,Scientific Literature,Bioorg. Med. Chem.,2008.0,None,
CHEMBL482693,,0,203.2,0,1.57,1a,Cc1cc(=O)[nH]c2c3c(ccc12)OCO3,IC50,'>',98490.0,nM,,,,UO_0000065,,,,,False,CHEMBL960910,Inhibition of aromatase after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153344,1,Scientific Literature,J. Med. Chem.,2009.0,None,
CHEMBL506858,,0,203.24,0,1.86,1f,COc1cccc2c(C)cc(=O)n(C)c12,IC50,'=',2020.0,nM,5.7,,,UO_0000065,28.02,0.52,3.83,18.23,False,CHEMBL960910,Inhibition of aromatase after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153344,1,Scientific Literature,J. Med. Chem.,2009.0,None,
CHEMBL492763,,0,217.22,0,1.58,1b,Cc1cc(=O)n(C)c2c3c(ccc12)OCO3,IC50,'=',1250.0,nM,5.9,,,UO_0000065,27.18,0.5,4.32,14.59,False,CHEMBL960910,Inhibition of aromatase after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153344,1,Scientific Literature,J. Med. Chem.,2009.0,None,
CHEMBL493173,,0,233.27,0,1.86,1j,COc1cc(OC)c2c(c1)c(C)cc(=O)n2C,IC50,'=',960.0,nM,6.02,,,UO_0000065,25.8,0.48,4.16,14.87,False,CHEMBL960910,Inhibition of aromatase after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153344,1,Scientific Literature,J. Med. Chem.,2009.0,None,
CHEMBL3621226,,0,311.43,0,4.00,9,CC(=O)[C@@]1(C)CC[C@H]2[C@@H](C=CC3=CC(=O)CC[C@@]32C)[C@@H]1CC#N,IC50,'=',220.0,nM,6.66,,,UO_0000065,21.38,0.4,2.66,11.49,False,CHEMBL3624595,Inhibition of aromatase (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621095,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL3623230,,0,257.34,0,4.84,79,c1ccc(Cn2c3ccccc3c3ccccc32)cc1,IC50,'=',2700.0,nM,5.57,,,UO_0000065,21.64,0.38,0.73,112.95,False,CHEMBL3624595,Inhibition of aromatase (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621095,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL159073,,0,321.29,0,3.10,56,O=c1c2ccccc2oc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,IC50,'=',40.0,nM,7.4,,,UO_0000065,23.03,0.42,4.3,8.11,True,CHEMBL3624602,"Inhibition of human placental aromatase in presence of [1beta,2beta-3H] testosterone by Thompson and Siiteri method",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621095,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL437731,,0,318.33,0,3.83,67,O=c1cc(Cn2ccnc2)c2ccc(Oc3ccccc3)cc2o1,IC50,'=',51.0,nM,7.29,,,UO_0000065,22.91,0.41,3.46,12.74,True,CHEMBL3624602,"Inhibition of human placental aromatase in presence of [1beta,2beta-3H] testosterone by Thompson and Siiteri method",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621095,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL264924,,0,639.03,2,6.48,16,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)NCCCN2CCN(CCCN)CC2)CC[C@H]1C,IC50,'>',500000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL978974,"Inhibition of aromatase in human placental microsomes assessed as tritiated water release after 15 mins using [1-beta, 3H]androstenedione as substrate by scintillation counting",B,BAO_0000251,microsome format,Homo sapiens,None,None,None,Microsome,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156709,1,Scientific Literature,Eur. J. Med. Chem.,2008.0,None,
CHEMBL487888,,0,469.71,1,7.56,3,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC/C(=N\O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,IC50,'>',500000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL978974,"Inhibition of aromatase in human placental microsomes assessed as tritiated water release after 15 mins using [1-beta, 3H]androstenedione as substrate by scintillation counting",B,BAO_0000251,microsome format,Homo sapiens,None,None,None,Microsome,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156709,1,Scientific Literature,Eur. J. Med. Chem.,2008.0,None,
CHEMBL293122,,0,225.29,0,2.70,38,C1=C(CCn2ccnc2)c2cccnc2CC1,IC50,'=',500.0,nM,6.3,,,UO_0000065,27.97,0.51,3.6,20.52,False,CHEMBL3624595,Inhibition of aromatase (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621095,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL188664,,0,451.55,1,6.73,57,O=c1c(-c2ccccc2)c(SCc2ccncc2)oc2cc(OCc3ccccc3)ccc12,IC50,'=',210000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL3624599,"Inhibition of human placental aromatase assessed as conversion of [1beta-3H]androst-4-ene-3,17-dione to estrone after 15 mins by scintillation counting",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621095,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL572637,,0,392.8,0,4.99,"14, NSC-613604",Cc1nc2c(cc1C#N)C(Nc1ccc(Cl)cc1)Oc1ccc([N+](=O)[O-])cc1-2,IC50,'=',678.0,nM,6.17,,,UO_0000065,15.7,0.3,1.18,6.1,False,CHEMBL1037707,Inhibition of human placental aromatase assessed as conversion of [1-beta-3H]androstenedione to [1beta-3H]estrone after 20 mins by liquid scintillation counting,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1154072,1,Scientific Literature,Eur. J. Med. Chem.,2009.0,None,
CHEMBL586557,MONODICTYOCHROMONE A,0,566.56,2,3.15,1,Cc1cc(O)c2c(c1-c1ccc3c(c1O)C(=O)C[C@](C)([C@@H]1OC(=O)C[C@@H]1C)O3)O[C@](C)([C@@H]1OC(=O)C[C@H]1O)CC2=O,IC50,'=',24400.0,nM,4.61,,,UO_0000065,8.14,0.15,1.46,2.78,False,CHEMBL1043909,Inhibition of human recombinant aromatase,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1154137,1,Scientific Literature,J. Nat. Prod.,2008.0,None,
CHEMBL2312956,,0,370.45,0,4.11,3j,COc1cccc(C(c2ccncc2)c2cc3c4c(c2)CCN4C(=O)CC3)c1,IC50,'=',59.0,nM,7.23,,,UO_0000065,19.51,0.35,3.12,17.04,False,CHEMBL2321525,Inhibition of human CYP19 using [1beta-3H]androstenedione as substrate by 3H2O method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311453,1,Scientific Literature,J. Med. Chem.,2013.0,None,
CHEMBL2312966,,0,276.34,0,2.98,6a,C=C(c1cccnc1)c1cc2c3c(c1)CCN3C(=O)CC2,IC50,'>',5000.0,nM,,,,UO_0000065,,,,,False,CHEMBL2321525,Inhibition of human CYP19 using [1beta-3H]androstenedione as substrate by 3H2O method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311453,1,Scientific Literature,J. Med. Chem.,2013.0,None,
CHEMBL1939530,,0,274.3,0,4.15,3o,Fc1ccccc1-c1nsc(-c2ccccc2F)n1,IC50,'>',50000.0,nM,,,,UO_0000065,,,,,True,CHEMBL1941245,Inhibition of human aromatase using dibenzylfluorescein as substrate preincubated for 30 mins measured after 2 hrs by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1938272,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL1939531,,0,396.11,1,5.40,3p,Brc1cccc(-c2nsc(-c3cccc(Br)c3)n2)c1,IC50,'>',50000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1941245,Inhibition of human aromatase using dibenzylfluorescein as substrate preincubated for 30 mins measured after 2 hrs by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1938272,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL1939536,,0,376.09,1,6.49,3u,Clc1ccc(Cl)c(-c2nsc(-c3cc(Cl)ccc3Cl)n2)c1,IC50,'>',50000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1941245,Inhibition of human aromatase using dibenzylfluorescein as substrate preincubated for 30 mins measured after 2 hrs by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1938272,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL1939537,,0,376.09,1,6.49,3v,Clc1ccc(-c2nsc(-c3ccc(Cl)c(Cl)c3)n2)cc1Cl,IC50,'>',50000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1941245,Inhibition of human aromatase using dibenzylfluorescein as substrate preincubated for 30 mins measured after 2 hrs by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1938272,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL1939550,,0,298.37,0,3.89,3ii,COc1cccc(-c2nsc(-c3cccc(OC)c3)n2)c1,IC50,'>',50000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1941245,Inhibition of human aromatase using dibenzylfluorescein as substrate preincubated for 30 mins measured after 2 hrs by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1938272,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL2011180,,0,254.28,0,3.05,"2a, 6-methoxyisoflavanone",COc1ccc2c(c1)C(=O)C(c1ccccc1)CO2,IC50,'=',260.0,nM,6.58,,,UO_0000065,25.9,0.47,3.54,18.53,False,CHEMBL2014375,Inhibition of human recombinant aromatase expressed in baculovirus/insect cells using 7-methoxy-trifluoromethylcoumarin as substrate after 30 mins by fluorescence-based spectrophotometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL2010679,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL1939523,,0,396.11,1,5.40,3h,Brc1ccccc1-c1nsc(-c2ccccc2Br)n1,IC50,'>',50000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1941245,Inhibition of human aromatase using dibenzylfluorescein as substrate preincubated for 30 mins measured after 2 hrs by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1938272,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL1939533,,0,335.26,1,5.80,3r,Cc1cc(Cl)ccc1-c1nsc(-c2ccc(Cl)cc2C)n1,IC50,'>',50000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1941245,Inhibition of human aromatase using dibenzylfluorescein as substrate preincubated for 30 mins measured after 2 hrs by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1938272,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL38472,,0,302.42,0,3.51,12,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,IC50,'=',330.0,nM,6.48,,,UO_0000065,21.43,0.4,2.97,10.97,False,CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1123885,1,Scientific Literature,J. Med. Chem.,1987.0,None,
CHEMBL2282047,,0,498.67,1,6.45,14,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1C/C(=C\c1ccc(OCCCn3ccnc3)cc1)C2=O,IC50,'=',11900.0,nM,4.92,,,UO_0000065,9.88,0.18,-1.53,8.05,False,CHEMBL3076967,Inhibition of aromatase in Homo sapiens (human) placental microsome assessed as tritiated H2O release from [1-beta-3H] androstenedione substrate preincubated with substrate for 5 min prior to enzyme addition measured after 20 min by beta-scintillation counting analysis,B,BAO_0000019,assay format,Homo sapiens,CHEMBL3987910,Placenta,None,Microsome,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3046080,1,Scientific Literature,Med Chem Res,2013.0,None,
CHEMBL1956175,,0,301.35,0,4.36,11,N#Cc1ccc(Oc2cccnc2)cc1NCc1ccccc1,IC50,'=',986.0,nM,6.01,,,UO_0000065,19.93,0.36,1.65,10.37,False,CHEMBL1958525,Inhibition of human aromatase coexpressed with P450 reductase by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1955805,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,None,
CHEMBL1956188,,0,311.34,0,4.69,25,N#Cc1ccc(-n2ccc3ccncc32)cc1Oc1ccccc1,IC50,'=',114.0,nM,6.94,,,UO_0000065,22.3,0.4,2.25,13.66,False,CHEMBL1958525,Inhibition of human aromatase coexpressed with P450 reductase by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1955805,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,None,
CHEMBL2312968,,0,340.43,0,4.10,3a,O=C1CCc2cc(C(c3ccccc3)c3cccnc3)cc3c2N1CC3,IC50,'=',2130.0,nM,5.67,,,UO_0000065,16.66,0.3,1.57,17.08,False,CHEMBL2321525,Inhibition of human CYP19 using [1beta-3H]androstenedione as substrate by 3H2O method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311453,1,Scientific Literature,J. Med. Chem.,2013.0,None,
CHEMBL1957214,,0,239.3,0,3.27,9f,c1cncc(-c2csc(-c3ccncc3)n2)c1,IC50,'=',4.0,nM,8.4,,,UO_0000065,35.09,0.67,5.13,21.72,False,CHEMBL1961307,Inhibition of human aromatase using dibenzylfluorescein substrate preincubated for 30 mins measured after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1955720,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL1957221,,0,269.33,0,3.28,21,COc1ccc(-c2csc(-c3ccncc3)n2)cn1,IC50,'=',1040.0,nM,5.98,,,UO_0000065,22.21,0.43,2.7,12.49,False,CHEMBL1961307,Inhibition of human aromatase using dibenzylfluorescein substrate preincubated for 30 mins measured after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1955720,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,None,
CHEMBL3084324,,0,361.4,0,4.13,7,COc1ccc([C@](O)(c2cccnc2)c2cc3ccc(OC)cc3o2)cc1,IC50,'=',160.0,nM,6.8,,,UO_0000065,18.8,0.34,2.67,10.5,False,CHEMBL934601,Inhibition of aromatase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1144726,1,Scientific Literature,J. Med. Chem.,2008.0,None,
CHEMBL195571,,0,221.26,0,3.61,"figure 6, R2C1",Oc1ccc2cc(-c3cccnc3)ccc2c1,IC50,'=',2700.0,nM,5.57,,,UO_0000065,25.17,0.45,1.96,16.81,False,CHEMBL934601,Inhibition of aromatase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1144726,1,Scientific Literature,J. Med. Chem.,2008.0,None,
CHEMBL8498,,0,312.45,0,4.50,3b,CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,IC50,'=',250.0,nM,6.6,,,UO_0000065,21.13,0.39,2.1,19.34,False,CHEMBL661697,In vitro inhibitory activity against Cytochrome P450 19A1 in human placental microsomes,B,BAO_0000251,microsome format,None,None,None,None,Microsome,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1129505,1,Scientific Literature,J. Med. Chem.,1996.0,None,
CHEMBL3623217,,0,421.61,1,5.75,18,C[C@]12CC[C@H]3[C@@H](CCC4=C(Sc5ccccc5)C(=O)CC[C@@]43C)[C@@H]1C[C@H](C#N)[C@@H]2O,IC50,'=',170.0,nM,6.77,,,UO_0000065,16.06,0.31,1.02,11.08,True,CHEMBL3624595,Inhibition of aromatase (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621095,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL488,AMINOGLUTETHIMIDE,4,232.28,0,1.35,AG,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,IC50,'=',13000.0,nM,4.89,,,UO_0000065,,,,,False,CHEMBL692480,In vitro inhibition of estrogen production in hamster ovarian tissue,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1125660,1,Scientific Literature,J. Med. Chem.,1991.0,None,
CHEMBL281947,,0,298.39,0,2.48,(+)-1h,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,IC50,'=',5.0,nM,8.3,,,UO_0000065,27.82,0.52,5.82,13.09,False,CHEMBL645587,In vitro inhibition of cytochrome P450 19A1 Aromatase,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1125660,1,Scientific Literature,J. Med. Chem.,1991.0,None,
CHEMBL3622059,,0,458.57,0,2.96,118,N#Cc1ccc(N(CCCCCSc2ccc(OS(N)(=O)=O)cc2)n2cnnc2)cc1,IC50,'=',0.73,nM,9.14,,,UO_0000065,19.92,0.4,6.18,7.19,False,CHEMBL3627341,Inhibition of aromatase (unknown origin) expressed in JEG-3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621110,1,Scientific Literature,J. Med. Chem.,2015.0,CHEMBL3308202,
CHEMBL2331704,,0,334.42,0,3.62,15,COC(C)(C)c1cncc(-c2ccc3c(c2)CCc2nnc(C)n2-3)c1,IC50,'=',11160.0,nM,4.95,,,UO_0000065,14.81,0.27,1.33,9.37,False,CHEMBL3625352,Inhibition of human CYP19,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621164,1,Scientific Literature,ACS Med. Chem. Lett.,2015.0,None,
